,document,term,tfidf
59188343,1049,darkli,0.2648875098474132
59196165,1049,provoc,0.25818900220438773
59200239,1049,unsuccess,0.24408004461090066
59189468,1049,enhanc,0.2319084577124818
59184498,1049,100,0.22728103513665981
59195327,1049,paranoia,0.2252099500694563
59197697,1049,shadowi,0.21657407173136267
59190404,1049,fuel,0.20987556408833719
59186552,1049,brain,0.20341817281720476
59198108,1049,smart,0.20341817281720476
164747947,105,circu,0.64603132100619
164761352,105,werewolf,0.32701237440876607
164757977,105,scoobi,0.29955178779456454
164751815,105,hear,0.2866256035554651
164756240,105,plagu,0.27585882117668636
164760562,105,undercov,0.26771329642635183
164756038,105,perform,0.2522580385795932
164751021,105,gang,0.21980845305037458
164760236,105,travel,0.2100060873241684
164745009,105,00,0.0
152979075,1050,9000,0.37684069072085696
152985326,1050,hal,0.3607859833791486
152987592,1050,lunar,0.33334027989915493
152980326,1050,beneath,0.2818941563064233
152993187,1050,surfac,0.26961332990500986
152979243,1050,advanc,0.25535874073935644
152989118,1050,object,0.2535586225633015
152981944,1050,comput,0.24860269025269946
152981019,1050,buri,0.24561290979227185
152993130,1050,super,0.22611291908330783
113965607,1051,agent,0.363157283204337
113975905,1051,partner,0.2741047077413828
113981626,1051,wri,0.2543127321821972
113979936,1051,thing,0.2449133545906598
113977381,1051,retic,0.24347813658519502
113976067,1051,perplex,0.23579086867189528
113978074,1051,secret,0.21196342062442095
113980033,1051,time,0.19911211918713032
113972226,1051,humankind,0.1927844334176561
113972538,1051,inexplic,0.19023761191857425
71471937,1052,17,0.4371705559502117
71488532,1052,year,0.43539456275458543
71476883,1052,entir,0.3714969648901304
71476090,1052,die,0.32637937652224475
71478050,1052,girlfriend,0.32539398758482346
71480404,1052,left,0.31858210577473095
71485037,1052,set,0.2565861429566175
71482357,1052,old,0.24800950213225662
71480495,1052,life,0.2001474961393238
71471868,1052,00,0.0
92148294,1053,ban,0.39887594404655624
92156546,1053,minist,0.37907718152073616
92152870,1053,funer,0.35884664760086266
92158496,1053,prime,0.34023817424597225
92148089,1053,attend,0.3053961274569442
92155437,1053,leader,0.28248832132771223
92155701,1053,london,0.27058839311835176
92158217,1053,plot,0.2695687109078782
92148035,1053,assassin,0.2672642066162219
92151245,1053,discov,0.18682702114967387
146610743,1054,cave,0.5129671629829444
146622311,1054,storm,0.28420362054305415
146608514,1054,abseil,0.23001713786565842
146618825,1054,oxygen,0.1936657083026922
146623619,1054,unchart,0.17829475671083173
146611736,1054,crocodil,0.17691331845566802
146617989,1054,mouth,0.17691331845566802
146613763,1054,flood,0.17318771391441617
146618414,1054,northern,0.17206339074112442
146623415,1054,tropic,0.16897383842806
96152190,1055,dwarf,0.3932146956878667
96160792,1055,shoe,0.37909773775626554
96159575,1055,red,0.3430808532858717
96161364,1055,spell,0.3294570792611895
96159044,1055,princ,0.3131588117441494
96152233,1055,easi,0.31210347245315617
96155839,1055,ladi,0.2961925826416286
96149582,1055,break,0.24030917054117085
96160549,1055,seek,0.23375660007279564
96158050,1055,order,0.21736645575362298
116633851,1056,scroog,0.3901295766145244
116633932,1056,selfish,0.3901295766145244
116630482,1056,miser,0.3817874073584196
116623959,1056,cold,0.3014170081563363
116623739,1056,christma,0.26346060854599596
116629378,1056,left,0.23918820783977135
116626801,1056,futur,0.23660468674067953
116623576,1056,chang,0.22725591580853086
116631068,1056,night,0.22421827387723672
116631737,1056,past,0.2216650309349548
10886647,1057,pixi,0.458865219498106
10885228,1057,moonston,0.2642111328300162
10890450,1057,tinker,0.2257255839690662
10882165,1057,harvest,0.22245575549621366
10882461,1057,hollow,0.21446928251740247
10880124,1057,dust,0.2122471804707317
10886901,1057,preciou,0.20479978181336253
10883291,1057,jeopardi,0.20171199632228778
10889235,1057,sourc,0.1964080249178079
10890665,1057,tree,0.19300440604025673
129310038,1058,transport,0.3544571580253618
129302463,1058,intent,0.34987897958388087
129305419,1058,orphan,0.34168050535118594
129308688,1058,special,0.3053545509000037
129298416,1058,creatur,0.29627961151835924
129302582,1058,island,0.2896687626593533
129306486,1058,protect,0.275587245381773
129298976,1058,destroy,0.2738956927233505
129309591,1058,teenag,0.2554761214000679
129306276,1058,power,0.23493986915974602
107429417,1059,coerc,0.43730663048974694
107430808,1059,doom,0.3815511820420023
107432447,1059,getaway,0.3773511212365993
107430931,1059,driver,0.3223282187725742
107433175,1059,heist,0.3092725320809544
107431631,1059,fail,0.3069982923328473
107428323,1059,boss,0.2950436944801977
107429937,1059,crime,0.2514884210718913
107442878,1059,work,0.21687491068132145
107443015,1059,young,0.17222912655122555
18311249,106,god,0.4206061249378914
18307346,106,butcher,0.3896288267566295
18311316,106,gorr,0.22434534003949302
18313272,106,korg,0.22434534003949302
18314695,106,mjolnir,0.22434534003949302
18315453,106,odinson,0.22434534003949302
18320888,106,valkyri,0.22434534003949302
18312663,106,interrupt,0.18889026959605318
18310979,106,galact,0.18640664440986804
18308465,106,cosmic,0.18210884454043164
116446793,1060,parent,0.2939304317251248
116437851,1060,bogota,0.29065767051135294
116438552,1060,cataleya,0.29065767051135294
116448288,1060,restrepo,0.29065767051135294
116445906,1060,murder,0.2362729194138933
116442936,1060,hitman,0.22190260621209557
116449832,1060,spent,0.20598205627467875
116445646,1060,mobster,0.20154815817753624
116451979,1060,vigilant,0.1976771265872936
116450138,1060,stone,0.19424201835852484
164594061,1061,66,0.3357964045897436
164595869,1061,bridal,0.3357964045897436
164600060,1061,gown,0.32519439751589313
164596636,1061,chucki,0.299649700730007
164596686,1061,clad,0.28791365933806845
164603691,1061,murder,0.2851125505047675
164609516,1061,unwit,0.2677717707883259
164606359,1061,rout,0.26588144837336536
164607686,1061,spree,0.2562124837274153
164598182,1061,doll,0.2548216315939003
64779822,1062,teas,0.5645110373585206
64777738,1062,ruin,0.4140837521871342
64774137,1062,manag,0.33891504257312727
64770220,1062,everyth,0.3227851649673299
