term,Drama,Comedy,Thriller,Action,Adventure,Horror,Romance,Family,Crime,Science Fiction,Fantasy,Animation,Mystery,History,Music,TV Movie,War,Documentary,Western
interact,0.1968278257099896,0.2400807742065061,0.24814782622680726,0.24271496596390657,0.24565156053097142,0.2117911314830303,0.21178267846450954,0.29368851155065784,nan,0.2026222824137989,0.2267375312190295,0.3477329343293456,nan,0.2419506371211818,nan,nan,nan,nan,nan
perhap,0.2028819261246211,0.163899191209761,0.23077616116911395,nan,nan,nan,0.21098310778761467,nan,0.219057513340668,0.2225560541291307,0.205459258316429,nan,0.19782202707259774,0.219057513340668,nan,nan,nan,nan,nan
punk,0.3593165192579871,0.20031389316046133,0.2319388664933944,0.2895653448316706,0.17842352491175156,0.2220406240940263,0.3175521421050216,nan,0.3524919351239671,0.24396448359959494,nan,nan,nan,nan,0.3724626568786096,nan,nan,nan,nan
revolut,0.22781178903235358,0.2613721746213598,0.22319764582483814,0.2613721746213598,nan,nan,0.2563458115234563,nan,0.3173951535928049,nan,nan,nan,nan,0.270476615432044,nan,nan,0.3254595206031784,nan,nan
geniu,0.24174689313332318,0.2490211361948749,0.22281333910904108,0.24342527920842316,0.23361401008041888,0.3887971078683153,0.2077799011919773,0.25885664114232526,0.22015574681954297,0.22452653473357884,0.2518568845394484,0.2442892667096767,0.2193228382285158,0.2188440811764667,0.227393464714132,nan,nan,nan,nan
spark,0.27054153282145377,0.22295142498883552,0.26282226627678096,0.230140421312338,0.230140421312338,nan,0.2536061148682983,0.2321089677186611,0.2511248549186901,0.2321089677186611,nan,0.23112469451549955,0.2511248549186901,0.2109683205928282,nan,nan,0.2109683205928282,nan,0.2082872065787768
cultur,0.23501528790771875,0.2567049391302856,0.2064479757711122,0.2251370925976108,nan,0.2112746470772483,0.25856610624356785,0.1856518487896597,0.2529667340559572,nan,0.20539447069363526,nan,0.1974122015568858,0.28460407609002775,0.2452340446666593,nan,nan,nan,nan
forev,0.2772484506521617,0.22773181729239445,0.2366597733517698,0.3070371526767956,0.2645137043680683,nan,0.22593337215999099,0.26122986076842397,nan,0.2227694200259757,0.2422646569219758,nan,0.2255067352704666,0.23980397712730855,0.2501529829906549,0.2488319489087489,nan,0.2161781656399986,0.2980179266636876
princess,0.3199812269271254,0.322512034769196,nan,0.2600168287280714,0.2778133339919994,0.250830945995561,0.2802771008565876,0.3149089538369662,nan,0.24695520472982263,0.29072968936024335,0.29076981073705077,0.3150493748012276,0.3242248021454374,0.3480041101935928,0.383839037704716,nan,nan,0.307563118134565
thermopoli,0.2861296774690248,nan,nan,nan,nan,nan,0.2861296774690248,0.2861296774690248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
archeri,0.2739395707564103,nan,nan,nan,0.2912004089406482,nan,0.2739395707564103,0.2739395707564103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
genovia,0.2739395707564103,nan,nan,nan,nan,nan,0.2790091672467673,0.2790091672467673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
saddl,0.34137158488118063,0.3433889492323414,0.2851153134951526,nan,0.2931035093882559,0.2420291083156237,0.2372686021452487,0.27464991542576356,0.33841035641729594,nan,0.2428180695441704,nan,nan,nan,nan,nan,nan,nan,nan
hors,0.3074059263131644,0.21727330442371795,nan,0.2320759494266104,0.26748897419412804,0.2411707374441424,0.2961791145777229,0.2585301995241926,nan,nan,0.27801660733447675,0.2714768392923592,nan,nan,nan,nan,nan,nan,0.21449663601315885
crown,0.26097711531301326,0.2386891044236991,0.32757740940597563,0.24997049732312618,0.23067354032816448,nan,0.2448471673543345,0.2133025643494691,nan,0.2014509342922828,0.23553677499615297,0.24851972489642582,nan,0.30740300864022807,0.2752805290291445,0.2224103894644166,0.3494477120615014,nan,nan
earlier,0.23648340624185776,nan,0.22648149840845902,0.26256962119518173,nan,0.2565906061108074,0.21819746335530482,0.1992320888398147,nan,0.3051669876372058,nan,nan,0.22387040705079386,0.2206244829222982,nan,nan,0.2206244829222982,nan,nan
duti,0.23430308687119877,0.2629706846930703,0.23461150917018272,0.19281379558078476,0.2717303950760965,0.2238894234720426,0.26027184366637274,0.1976065847366025,0.2600561935716044,0.3675469043316499,nan,nan,0.2197745785455154,nan,nan,nan,0.20478317991913486,nan,nan
lesson,0.22530951924859588,0.26643750133170857,nan,0.20625394097507438,0.23699484114125602,nan,0.25670871814323665,0.24250877736376017,nan,nan,0.2804906674627089,0.24285970482562994,nan,nan,nan,nan,nan,nan,nan
smokey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
porch,nan,nan,nan,nan,nan,nan,nan,nan,0.2791232216090906,nan,nan,nan,0.2791232216090906,nan,nan,nan,nan,nan,nan
afternoon,0.264089804113198,nan,nan,nan,0.2013498378150413,nan,nan,0.19705044200333804,nan,0.1927510461916348,0.23271982096411964,nan,nan,nan,nan,nan,nan,nan,nan
friday,0.17347026109756697,0.2127637725098451,nan,nan,0.1493442809082525,nan,0.28619238139621617,nan,0.2127637725098451,0.1995504204528689,nan,nan,nan,nan,nan,nan,nan,nan,nan
smoke,0.2083436054563716,nan,0.1925636249781522,nan,nan,0.2492372600447447,nan,nan,0.3459096529885456,0.2124730398904999,0.2124730398904999,nan,nan,nan,nan,nan,nan,nan,nan
drink,0.2673568605847179,nan,0.20189643145610414,0.1618110502175951,nan,0.2415783863579766,0.4384804025427397,nan,0.3078234736619766,0.1618110502175951,nan,nan,nan,nan,0.1957539147071014,nan,nan,nan,0.1957539147071014
hang,0.20519761648290052,0.23381206055074213,0.19717345739139644,0.19965380309521163,0.2139031687186566,0.2036366269920844,0.21700231844153958,0.26369521083159236,0.2110898773509202,0.220842400944105,0.2284457249750618,0.2167215398946377,0.2384034725230009,0.2580040125522549,nan,nan,nan,0.2207273867743194,nan
guy,0.2236324959159454,0.2867280715892579,0.28472440720340586,0.24954449440541857,0.27443752452908815,0.29140345404092755,0.2554295740121132,0.2668317327653648,0.25350735582204,0.21009880562911745,0.29240700440476347,nan,nan,nan,0.3764657826082532,0.2219596491433638,0.2135111599845853,nan,0.219064291038206
lo,0.2813717507685531,0.24098109718050834,0.2576935234833148,0.271719977100624,0.25256442358515135,0.28309812625155456,0.26512964209071105,0.219753023811531,0.26140162553147206,0.2568719967628038,nan,nan,0.24749698366580536,nan,nan,nan,nan,nan,nan
angel,0.2584029774765018,0.24449736466743704,0.2541430516975541,0.27321753954805067,0.2536049647348499,0.2770061259104239,0.2502510213760437,0.25940963243562143,0.26552632506079726,0.24946698218270244,0.26320899274281884,0.200948598062795,0.2518464734787628,nan,nan,nan,nan,nan,nan
terrestri,nan,nan,0.2597218005064985,0.20178914720749963,0.3246807298993699,0.20178914720749963,nan,0.3246807298993699,nan,0.2597218005064985,0.3246807298993699,nan,0.3353072806856161,nan,nan,nan,nan,nan,nan
home,0.2419785834141175,0.2093037692222702,0.23598789921290375,0.21521335730317967,0.22574364306263417,0.21591605470320294,0.2450990318005878,0.23283013124237117,0.24071997031513157,0.241575085269788,0.20747477488005348,0.18798808277324622,0.22206261667750618,0.1980692621277566,0.25176471696485075,0.1969744155394415,0.22524184975659445,nan,nan
extra,0.1837233381269475,0.2171993713251339,0.24870892518667856,nan,0.26794795881966693,nan,0.4112031111479209,0.26794795881966693,nan,0.2536912520294463,0.26794795881966693,nan,0.23916616367385884,nan,nan,0.2490429833569837,nan,nan,nan
10,0.23883274376356425,0.2008591484263478,0.1945159829424288,0.28022172930427525,0.11386024380821717,0.2936910324637701,0.2910640480460327,0.25246455180786326,0.250725996531752,0.165002865437026,0.14909917299900557,nan,0.23477722973664564,nan,0.2110602373085586,nan,nan,nan,nan
emot,0.2883522818610351,0.2598870115622084,0.24716237129375307,nan,0.27936590502866043,0.1800071619357634,0.3601390828121084,0.25188935400058055,0.2080109257300781,0.4243030854008552,0.2106189110703064,nan,0.1919914836920214,0.23657104805038864,0.2179299195046082,nan,nan,0.2515804517131271,nan
task,0.2648280167576846,0.21961061867160836,0.2646550445408255,0.2560464914206628,0.23896465610893794,0.20483666863204542,0.1954293687972649,0.19527884776106197,0.27272737509848843,0.2268914178713654,0.24041726432528657,0.2792207349966829,0.2278922103432159,nan,0.1959189664865254,0.1529775205205228,0.2382006775851349,nan,nan
hidden,0.2522434290858578,0.21185534283155277,0.2524179809333933,0.2113137171609405,0.2469728186868847,0.2128498886037426,0.2721767441169911,0.21214493324317352,0.20398390639405847,0.22254164447055852,0.2185618359785758,nan,0.28744820272494825,0.3397356616023291,nan,nan,nan,nan,0.2558980422669454
bond,0.24571960304030332,0.3082476325763305,0.31514246323214357,0.32689077690247265,0.26216510078384503,0.2887624685695852,0.28972059727567995,0.22941406134530612,nan,0.2806112628150708,0.2094665931042977,0.2017723729449069,0.25702888357014114,0.218809664514454,0.2857726487063785,nan,0.218809664514454,nan,nan
form,0.2576958601132411,0.2591098553432959,0.22667218481309642,0.2357803047447923,0.23074694192640544,0.2136145965362887,0.23302238342866202,0.2326837707881332,0.23236645944635165,0.23498534326777307,0.2251861604363351,0.2341390508716773,0.23591172877197658,0.24055077308720008,0.2599602461193977,nan,0.328073422443415,nan,nan
